sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we3 121718 01,3.930467893,1916.870475,125.1016133,14.05275603,9.684414416,360.4295564,1448.625309,0,0,0.203173722,0.087283224,1.544852752,0.01860587,0,0.517155225,48.28827072,0,0.044906672,3.03924463,0.038913203,0.023707281,9.056234465,0.07708417
we3 112718 01,1.301009182,76.06866843,23.75869487,0,2.060318842,232.0428397,661.8824571,0,0.032536087,0.400606739,0.376796379,1.139567395,0.024745807,0,0.515109399,31.11423296,0,0,2.368772217,0.004346134,0.013674787,6.423585933,0.103362961
we2 120218 02,6.562256483,2482.663284,713.1082586,36.31444673,63.73600364,1408.758583,12236.97512,1.791177733,2.051333924,0.335792484,0,30.95665758,0.101781843,1.416358677,7.117631322,14.59317566,0.429100491,0.964180712,40.30236504,0.145951756,0.00156833,12.08920388,0.153589135
we3 121118 01,0.555729367,32.10665686,20.26087136,7.714695252,17.72872546,227.8746757,743.3982717,0.319820809,0,0.164561749,0,1.305294581,0.010876072,0.368125818,0.209142881,31.62400474,0,0,1.083523786,0.008960671,0.009236525,6.466048134,0.209789457
we2 121818 01 to 02,5.990758098,1925.018913,595.4119247,33.65790988,142.1341964,1209.478201,10781.52674,1.670311674,2.140067489,0.316495507,0.116498308,26.4251996,0.103781149,0.312107868,6.521980169,24.48450512,0.554579224,0,35.89855978,0.151902273,0,10.83629385,0.220910141
we3 121818 04,0.702945397,21.28436693,10.90374101,0,0,131.6369047,793.9619347,0,0.026222605,0.15725081,0,0.591411503,0.005645529,0,0.278652651,24.1862236,0,0,0.170966529,0.012913853,0.009285,3.570586213,0.100209797
we2 010619 01,5.104421994,1351.519352,578.6550681,14.13861995,168.0596417,1002.013742,10054.79101,0,2.071898586,0.241830265,0,18.0903103,0.067628391,0,4.299540975,30.23727989,0.682793075,1.068571968,33.38010716,0.117608852,0.001050404,8.091710262,0.084731622
we3 010619 01,2.912375775,980.3716035,152.8148569,0.856777905,105.5148098,121.4830764,2138.306903,0,0.065067636,0.206360368,3.871800093,9.756041868,0.034885953,0,5.881326682,86.31486662,0,0.962817867,4.669606588,0.92266301,0.009032357,27.6227891,0.272166056
we2 011319 06,4.109413337,1367.318769,707.0414098,21.55976529,63.32367744,1120.049862,11288.6864,1.196045319,1.856180583,0.198618496,0.00824745,18.0977399,0.076940941,0,4.777335654,22.06563423,0.437560945,0,38.02422856,0.124073548,0.004621579,9.884327623,0.081649746
we2 022319 01,2.92218062,1397.825385,555.8074907,13.40240786,347.4759045,1139.32543,11114.05908,0.057350205,1.78183741,0.021065519,0.451343218,16.84771433,0.090126903,0.546639009,3.540139123,26.41722558,0.408778189,0,36.57567032,0.175960024,0,10.05933593,0.176553877
we2 021419 01,3.80569038,859.8172765,614.8595132,28.70012635,87.92033475,786.3253444,12029.09717,0.952553996,1.697831024,0,0.306577638,11.70422096,1.109412767,0.509451776,2.766097417,12.81445356,0.322638523,0,43.08860783,0.102262626,8.13E-05,9.527583931,0.050702738
we2 021319 10,8.385856483,985.2139449,602.5556641,10.80988183,80.97809862,775.4565086,11436.83169,1.197205024,1.756271849,0.165557695,0.282534746,14.57864759,0.031473458,0.769601185,2.876092294,10.96731874,0.240964459,0,40.18231175,0.154021453,0.002248881,9.828268098,0.066081436
we2 021219 05,1.061841793,952.4843541,431.0423394,10.17519532,111.2993877,635.6730298,8029.210391,0.162363231,1.63093595,0.868290078,0.043830023,17.74141511,0.079216657,1.423892853,8.840991368,13.55013871,0.389931482,0,31.22456365,0.153340573,0,7.486039209,0.040287038
we2 022419 02,0.870228328,991.494645,527.8088096,26.64683498,60.41320519,717.3036306,10961.00278,0.19097868,1.997790577,0.076356874,0,15.24012095,0.26537345,0.332166015,2.707098456,11.20136366,0.376165376,0,37.66195163,0.105364167,0,9.341077872,0.049665933
we2 021519 02,2.245812815,912.9133675,645.5209301,8.36326342,68.00328978,887.9007548,12302.94805,0,1.876097272,0.041907227,0.186938198,12.5053471,2.437730159,0.330848428,2.622890798,13.46779201,0.458111604,0,39.41731043,0.076581809,0.002468925,9.43020901,0.027044705
we2 021219 06,1.50215098,1047.038725,561.2754714,19.42657612,90.81835114,778.8783746,10822.96633,0.195973774,1.669347392,0.133137792,0,15.47279755,0.036335792,0.467129298,3.812252381,17.17134924,0.493246199,0.699949487,38.64946069,0.124308414,0.018312739,9.726728436,0.041011219
