sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we2 040919 03,6.865058068,1521.64556,578.6094655,77.417935,111.1909381,1057.497488,14995.33339,2.842586823,2.7265818,0.844032151,1.002854558,39.28651467,0.293237637,0.837677963,7.509734709,11.72284952,0.50193604,0,40.20851677,0.104757786,0.015200359,11.33522458,0.062677574
we2 010819 02,5.079496685,1465.932126,685.8626246,21.93194524,69.89784386,1276.421759,12445.91253,1.344744116,2.100951351,0.841139146,0.818992104,20.65408725,0.072658869,0.482494579,4.781082147,15.95793286,0.694338833,3.374123396,37.68963463,0.125558343,0.014867401,10.03180962,0.235934868
we2 051919 03,6.869846505,3352.38913,744.8283234,110.077132,398.2331376,4832.772812,12502.31692,6.578223277,3.607675684,1.23745243,9.111185679,73.99706324,0.572039611,7.356814725,21.0013013,157.4903294,1.25600977,0,33.67441367,0.333566926,0.595885253,20.08954841,0.691964014
we2 051919 04,6.200415732,2635.564227,626.5669342,101.7513848,310.7330616,3607.411467,13072.3102,4.871577705,3.16252194,1.088164766,5.365712787,57.25859223,0.264136581,2.563816881,13.76382381,56.087466,0.71379125,0,33.96470764,0.387529963,0.03773171,21.16670776,0.145286779
we3 051519 04,6.541322864,669.9604142,568.3546928,62.52962455,191.377146,1237.677575,17375.69407,3.06529521,0.62368834,0.994224201,221.5934295,162.5821015,2.361769058,3.346552044,21.72269906,297.388911,0.623844636,3.816893601,31.3953638,1.174300842,0.126928504,108.6929865,0.119315267
we3 051519 01,1.835277263,202.7572582,80.9134261,5.560715238,96.06167304,625.2958203,3218.901179,0.659057259,0.295768497,0.528131504,12.24697478,9.691451461,0.334242977,1.117305472,3.240697222,76.22101969,0.160811808,0,4.713508943,0.112347922,0.043163869,24.69113676,0.301354662
we3 051519 02,1.663505566,198.2934665,48.93510497,22.27038614,32.61907508,586.0321529,1735.269449,0.068187494,0.385365803,0.705661533,3.767043847,6.905992952,0.077743504,0.467528899,1.560113349,59.6832006,0,0,3.158918925,0.078189228,0,15.7756104,0.049871739
we3 051519 03,1.991706998,304.0434164,90.05369922,15.00610741,29.59279494,749.8788875,1901.225747,0.068187494,0.186720944,0.626422907,39.17980641,93.60124553,0.366588332,1.216878923,3.002737972,97.88067736,0.189790131,3.25687478,4.23858801,0.358884939,0.015257845,29.97449985,0.058366543
we3 041919 02,3.97647107,401.9544901,203.5083493,12.33248438,105.4988569,896.6513905,5260.309851,0.068187494,0.318209984,0.65907804,16.51055973,19.10256864,0.244567334,0.767411054,5.114486764,209.3420791,0.34142862,3.851767908,8.432091672,0.153281292,0.058420853,44.16278332,0.060877618
we3 051419 01,28.09279624,12824.33581,4398.353384,123.0576716,484.1202051,9130.853265,44479.11864,1.763070635,0.507825348,1.821714497,397.908113,284.7710107,2.368394147,19.14251027,112.4107769,916.9617477,1.608660302,0,83.50689409,3.622857876,0.306939143,387.7476562,1.127081605
we3 051419 02,9.995839628,1606.914105,751.1312037,64.62663405,304.6025017,1907.196305,19825.34787,2.098768108,1.442023644,1.05176408,109.1342819,78.6503577,1.520972131,3.289253423,23.11503952,506.9083197,0.576776836,0,32.1796873,0.801676033,0.224506651,115.4496667,0.141315865
we3 051419 03,4.382007458,521.443931,222.1371037,61.50459302,142.3144471,1036.295986,6913.582723,2.416721896,1.082737729,1.063712274,33.39382871,27.51160536,1.24101032,1.073627025,8.592650455,190.3527683,0.153578449,0,9.309819616,0.422751727,0.042705823,42.35277559,0.069536341
we3 051919 16 to 19,1.28559365,56.92830538,22.21608145,20.15159143,28.77886706,598.4780857,700.2345279,0.610959229,0.136762946,0.577152019,1.861162333,4.459923887,0.047336488,0.423291805,0.862889998,45.1921068,0.155513622,0,0.723972732,0.023874656,0.021927165,6.204904733,0.114033866
we3 051919 20,1.200684452,79.36645502,26.29469623,39.01431769,30.57199932,517.4036402,1334.829799,0.623884419,0.171819721,0.799364007,1.123469677,5.907634667,0.030258834,0.440365278,0.946878374,45.89051731,0.074982915,0,3.490436982,0.032668623,0.01612388,13.30759798,0.087172093
we3 051919 21,1.166674368,52.51223975,22.58259913,11.33713849,59.20518799,495.201303,1930.653647,0.068187494,0.112021848,0.54485294,1.292822247,4.335467903,0.012083429,0.357854597,0.635952166,46.21963855,0.038373663,0,1.835688117,0.023969997,0.034912365,8.4377775,0.039297394
we2 051919 05,5.5851609,2725.130908,636.0681602,103.9015869,103.5944681,3453.406387,13243.34863,7.855095901,3.090593571,0.822056342,5.28425724,52.50760648,0.575095974,2.049143781,11.44996743,174.7631305,0.66090255,0,39.29996177,0.5743669,0.038042405,18.87938394,0.458445463
we3 051819 01,9.939856075,986.6976005,453.6964235,16.57719589,16.00573945,1255.613845,10255.5459,0.068187494,0.296892075,0.933777649,143.0077044,647.8078489,1.93028104,6.152796691,13.21288994,291.1034799,0.920651685,0,16.92193946,0.928333602,0.773368562,88.39481702,0.991259456
we3 051819 02,3.028584037,155.89792,66.49709302,25.21958766,29.42082304,583.8243119,2461.698726,1.233706982,0.125268884,0.58788837,9.595963518,20.56682758,0.168448388,0.529108349,2.951876122,77.73632051,0.146048689,6.294992607,1.891731028,0.092812687,0.038316745,18.43709982,0.070488041
we3 51919 03 to 05,2.31099062,99.20417637,37.43317682,10.71808876,15.23895357,558.7603245,997.843792,0.068187494,0.190558601,0.851996545,1.169351809,6.598747807,0.016114797,0.317262965,1.082545984,59.87506845,0.254138649,3.112653383,2.274240162,0.116519142,0.007151467,9.795150592,0.06821865
we3 051919 06 to 10,1.596559174,92.22960639,47.57790013,19.45506538,29.86078794,516.0826889,1038.386257,0.549405475,0.173998492,2.249611311,4.263070539,16.58998788,0.045269536,0.61920142,1.152284334,58.01581129,0.307274932,0,1.17019436,0.307418229,0.061453957,11.59470069,0.097784727
we2 051819 01,5.902077283,2040.654222,226.8026462,38.13749323,28.67524608,1293.15499,9589.870841,0.068187494,1.670553672,0.794675959,11.34165818,6.026446831,0.1483389,0.942618572,3.249298721,961.2056174,0.621055623,0,50.10287347,0.114801107,0.01445055,11.47445547,0.482412507
we2 051919 02,7.446531754,2886.80595,565.9139355,116.9880274,337.9003482,4866.420978,10228.78725,2.48555291,3.109551463,1.056772939,9.209445719,71.03929548,0.305703067,1.405965946,13.55031496,133.7218355,0.935871589,0,36.15129027,0.411986291,0.045219705,19.85739252,0.122598799
we3 012019 01,0.657040345,206.5618262,4.751324388,4.505574036,26.10153536,511.8172955,0,1.071418415,0,0.437964425,0.445792072,4.169261545,0.026681838,0.456765092,0.875726971,0,0,0,0,0.008196082,0,0,0.490375321
we3 052519 06,1.046912562,78.11182303,35.52911832,34.82670219,0,539.9758586,593.869202,0.068187494,0.311863534,0.670421422,2.782649992,10.8161279,0.054018052,0.400771121,0.423813036,16.42119925,0.035843368,0,0.752388183,0.113207634,0.026725736,6.645600249,0.070220688
we3 052519 07,1.850330932,685.2626165,68.97462247,10.36911067,72.34740444,541.3270442,1133.582124,0.068187494,0.032962163,0.559464233,2.051295667,5.385110801,0.133045107,0.525565712,0.475295068,51.76256552,0.07469644,0,2.70324178,0.00882222,0.041644282,10.49650936,0.054728292
we2 052519 02,6.25277327,2518.088355,464.0263504,43.79285445,155.9670044,2540.655371,9978.090761,6.783096136,2.860285356,1.095574819,1.398743873,54.90319926,0.460374847,1.233840809,12.46238967,30.00897343,0.935138932,3.334116498,31.19392846,0.227609372,0.014614762,12.56334035,0.127108604
we3 051919 11 to 15,1.378525716,114.0046949,26.70906312,28.27410573,49.90013926,598.9866059,1087.573153,0.068187494,0.267463031,0.552759981,1.688970827,6.072341058,0.044243564,0.307785796,0.627395141,31.48838637,0.033626168,0,1.052388154,0.090595711,0.02864148,7.797374177,0.06948924
