FS data Date,FS data Time,roof,FS Sample Number,Bottle Number,date,time,sample_code
1/20/2019,6:45 PM,we2,96,1,1/20/2019,6:45:00 PM,we2 012019 01
1/23/2019,4:35 AM,we2,97,2,1/23/2019,4:35:00 AM,we2 012319 02
2/9/2019,9:20 AM,we2,99,1,2/9/2019,9:20:00 AM,we2 020919 01
2/11/2019,2:50 AM,we2,100,2,2/11/2019,2:50:00 AM,we2 021119 02
2/11/2019,6:55 PM,we2,101,3,2/11/2019,6:55:00 PM,we2 021119 03
2/11/2019,11:40 PM,we2,102,4,2/11/2019,11:40:00 PM,we2 021119 04
2/12/2019,2:15 AM,we2,103,5,2/12/2019,2:15:00 AM,we2 021219 05
2/12/2019,5:15 AM,we2,104,6,2/12/2019,5:15:00 AM,we2 021219 06
2/12/2019,8:05 AM,we2,105,7,2/12/2019,8:05:00 AM,we2 021219 07
2/12/2019,10:20 AM,we2,106,8,2/12/2019,10:20:00 AM,we2 021219 08
2/12/2019,3:25 PM,we2,107,9,2/12/2019,3:25:00 PM,we2 021219 09
2/13/2023,8:35,we2,108,10,2/13/2019,8:35:00 AM,we2 021323 010
2/14/2019,3:30 PM,we2,109,1,2/14/2019,3:30:00 PM,we2 021419 01
2/15/2019,7:30 PM,we2,110,2,2/15/2019,7:30:00 PM,we2 021519 02
2/20/2019,5:10 PM,we2,112,1,2/20/2019,5:10:00 PM,we2 022019 01
2/23/2019,3:10 PM,we2,113,1,2/23/2019,3:10:00 PM,we2 022319 01
2/24/2019,5:30 AM,we2,114,2,2/24/2019,5:30:00 AM,we2 022419 02
3/12/2019,3:55 PM,we2,116,1,3/12/2019,3:55:00 PM,we2 031219 01
4/6/2019,9:35 AM,we2,117,1,4/6/2019,9:35:00 AM,we2 040619 01
4/6/2019,10:55 PM,we2,118,2,4/6/2019,10:55:00 PM,we2 040619 02
4/7/2019,11:20 AM,we2,120,1,4/7/2019,11:20:00 AM,we2 040719 01
4/8/2019,5:50 AM,we2,121,2,4/8/2019,5:50:00 AM,we2 040819 02
4/9/2019,6:45 AM,we2,122,3,4/9/2019,6:45:00 AM,we2 040919 03
4/16/2019,6:40 AM,we2,123,1,4/16/2019,6:40:00 AM,we2 041619 01
5/18/2019,10:42 AM,we2,124,1,5/18/2019,10:42:00 AM,we2 051819 01
5/19/2019,1:55 AM,we2,125,2,5/19/2019,1:55:00 AM,we2 051919 02
5/19/2019,3:35 AM,we2,126,3,5/19/2019,3:35:00 AM,we2 051919 03
5/19/2019,5:35 AM,we2,127,4,5/19/2019,5:35:00 AM,we2 051919 04
5/19/2019,8:50 AM,we2,128,5,5/19/2019,8:50:00 AM,we2 051919 05
5/25/2019,10:15 PM,we2,130,2,5/25/2019,10:15:00 PM,we2 052519 02
8/11/2018,4:12:00 PM,we3,29,1,8/11/2018,4:12:00 PM,we3 081118 01
8/11/2018,4:15:00 PM,we3,30,2,8/11/2018,4:15:00 PM,we3 081118 02
8/27/2018,3:36:00 AM,we3,31,1,8/27/2018,3:36:00 AM,we3 082718 01
8/27/2018,4:45:00 AM,we3,32,2,8/27/2018,4:45:00 AM,we3 082718 02
9/10/2018,4:35:00 AM,we3,34,1,9/10/2018,4:35:00 AM,we3 091018 01
9/10/2018,4:56:00 AM,we3,35,2,9/10/2018,4:56:00 AM,we3 091018 02
9/11/2018,7:16:00 AM,we3,36,3,9/11/2018,7:16:00 AM,we3 091118 03
9/11/2018,5:26:00 PM,we3,37,4,9/11/2018,5:26:00 PM,we3 091118 04
9/11/2018,5:36:00 PM,we3,38,5,9/11/2018,5:36:00 PM,we3 091118 05
9/11/2018,7:45:00 PM,we3,39,6,9/11/2018,7:45:00 PM,we3 091118 06
9/12/2018,1:20:00 AM,we3,40,7,9/12/2018,1:20:00 AM,we3 091218 07
9/12/2018,2:26:00 AM,we3,41,8,9/12/2018,2:26:00 AM,we3 091218 08
9/12/2018,6:05:00 AM,we3,42,9,9/12/2018,6:05:00 AM,we3 091218 09
9/12/2018,4:25:00 PM,we3,43,10,9/12/2018,4:25:00 PM,we3 091218 010
9/12/2018,4:27:00 PM,we3,44,11,9/12/2018,4:27:00 PM,we3 091218 011
9/12/2018,4:35:00 PM,we3,45,12,9/12/2018,4:35:00 PM,we3 091218 012
9/12/2018,4:40:00 PM,we3,46,13,9/12/2018,4:40:00 PM,we3 091218 013
9/12/2018,4:55:00 PM,we3,47,14,9/12/2018,4:55:00 PM,we3 091218 014
9/12/2018,5:16:00 PM,we3,48,15,9/12/2018,5:16:00 PM,we3 091218 015
9/12/2018,6:21:00 PM,we3,49,16,9/12/2018,6:21:00 PM,we3 091218 016
9/13/2018,8:15:00 PM,we3,50,17,9/13/2018,8:15:00 PM,we3 091318 017
9/13/2018,8:27:00 PM,we3,51,18,9/13/2018,8:27:00 PM,we3 091318 018
9/15/2018,4:26:00 PM,we3,52,1,9/15/2018,4:26:00 PM,we3 091518 01
9/16/2018,5:35:00 AM,we3,53,2,9/16/2018,5:35:00 AM,we3 091618 02
9/16/2018,5:46:00 AM,we3,54,3,9/16/2018,5:46:00 AM,we3 091618 03
9/16/2018,6:20:00 AM,we3,55,4,9/16/2018,6:20:00 AM,we3 091618 04
9/16/2018,8:56:00 AM,we3,56,5,9/16/2018,8:56:00 AM,we3 091618 05
9/16/2018,12:05:00 PM,we3,57,6,9/16/2018,12:05:00 PM,we3 091618 06
9/16/2018,12:16:00 PM,we3,58,7,9/16/2018,12:16:00 PM,we3 091618 07
9/22/2018,6:12:00 AM,we3,59,1,9/22/2018,6:12:00 AM,we3 092218 01
9/22/2018,11:16:00 AM,we3,60,2,9/22/2018,11:16:00 AM,we3 092218 02
10/5/2018,8:06:00 AM,we3,61,1,10/5/2018,8:06:00 AM,we3 100518 01
10/5/2018,8:45:00 AM,we3,62,2,10/5/2018,8:45:00 AM,we3 100518 02
10/5/2018,11:40:00 AM,we3,63,3,10/5/2018,11:40:00 AM,we3 100518 03
10/5/2018,12:45:00 PM,we3,65,5,10/5/2018,12:45:00 PM,we3 100518 05
10/5/2018,1:50:00 PM,we3,66,6,10/5/2018,1:50:00 PM,we3 100518 06
10/5/2018,3:40:00 PM,we3,67,7,10/5/2018,3:40:00 PM,we3 100518 07
10/5/2018,5:40:00 PM,we3,68,8,10/5/2018,5:40:00 PM,we3 100518 08
10/5/2018,10:00:00 PM,we3,69,9,10/5/2018,10:00:00 PM,we3 100518 09
10/5/2018,10:40:00 PM,we3,70,10,10/5/2018,10:40:00 PM,we3 100518 010
10/5/2018,11:45:00 PM,we3,71,11,10/5/2018,11:45:00 PM,we3 100518 011
10/6/2018,2:40:00 AM,we3,72,12,10/6/2018,2:40:00 AM,we3 100618 012
10/7/2018,10:16:00 AM,we3,73,1,10/7/2018,10:16:00 AM,we3 100718 01
10/7/2018,1:20:00 PM,we3,74,2,10/7/2018,1:20:00 PM,we3 100718 02
10/7/2018,9:06:00 PM,we3,75,3,10/7/2018,9:06:00 PM,we3 100718 03
10/8/2018,1:55:00 AM,we3,76,4,10/8/2018,1:55:00 AM,we3 100818 04
10/8/2018,5:05:00 AM,we3,77,5,10/8/2018,5:05:00 AM,we3 100818 05
10/8/2018,2:05:00 PM,we3,78,6,10/8/2018,2:05:00 PM,we3 100818 06
10/23/2018,4:55:00 PM,we3,80,1,10/23/2018,4:55:00 PM,we3 102318 01
10/25/2018,11:22:00 AM,we3,81,2,10/25/2018,11:22:00 AM,we3 102518 02
10/25/2018,11:50:00 AM,we3,82,3,10/25/2018,11:50:00 AM,we3 102518 03
10/25/2018,1:35:00 PM,we3,83,4,10/25/2018,1:35:00 PM,we3 102518 04
10/25/2018,5:30:00 PM,we3,84,5,10/25/2018,5:30:00 PM,we3 102518 05
10/27/2018,6:52:00 PM,we3,85,1,10/27/2018,6:52:00 PM,we3 102718 01
