"","storm_id","pollutant","roof","p_mg_m2"
"147",4,"sr","con",0.0501446279582117
"148",4,"sr","eco",0.329523102171829
"149",4,"ti","con",0
"150",4,"ti","eco",0.00359481743231413
"151",4,"v","con",0.00134317131117391
"152",4,"v","eco",0.0281115630187154
"153",4,"zn","con",0.801802801549348
"154",4,"zn","eco",0.647874158202201
"155",5,"al","con",0
"156",5,"as","con",0
"157",5,"b","con",0
"158",5,"ba","con",0.0325024808868626
"159",5,"cd","con",7.24427618693213e-05
"160",5,"co","con",4.76076452217745e-05
"161",5,"cr","con",0
"162",5,"cu","con",0
"163",5,"fe","con",0.0049441271949139
"164",5,"mg","con",0.165203043123079
"165",5,"mn","con",0.00281872843988667
"166",5,"mo","con",0.000117405574203957
"167",5,"na","con",0.326922248967576
"168",5,"ni","con",0
"169",5,"pb","con",0
"170",5,"sr","con",0.00637432691979273
"171",5,"ti","con",0
"172",5,"v","con",0.000657859662727418
"173",5,"zn","con",0.149883637551883
"174",6,"al","con",0
"175",6,"al","eco",1.40410911157411
"176",6,"as","con",0
"177",6,"as","eco",0.0195228316200294
"178",6,"b","con",0
"179",6,"b","eco",0.048576301869471
"180",6,"ba","con",0.13416968649332
"181",6,"ba","eco",0.269091723948079
"182",6,"cd","con",0.00333037888454129
"183",6,"cd","eco",0.000361982847144153
"184",6,"co","con",0.00056425713253898
"185",6,"co","eco",0.00377019009070906
"186",6,"cr","con",0.000717318508751205
"187",6,"cr","eco",0.00650587407104606
"188",6,"cu","con",0
"189",6,"cu","eco",0.198338154331625
"190",6,"fe","con",0.0377005151969607
"191",6,"fe","eco",0.975394819647922
"192",6,"mg","con",0.400958325980292
"193",6,"mg","eco",13.6113101561339
"194",6,"mn","con",0.0202586922333877
"195",6,"mn","eco",0.00792349140838623
"196",6,"mo","con",0.000849455202994615
"197",6,"mo","eco",0.00322881775774731
"198",6,"na","con",1.26334058805047
"199",6,"na","eco",63.0095668038042
"200",6,"ni","con",0.03238787322647
"201",6,"ni","eco",0.0226757175799739
"202",6,"no3","con",0
"203",6,"no3","eco",5.01868623425773
"204",6,"pb","con",0
"205",6,"pb","eco",0
"206",6,"po4","con",0.269641969006225
"207",6,"po4","eco",0.568022114792914
"208",6,"sr","con",0.0246984498465531
"209",6,"sr","eco",0.758486927439622
"210",6,"ti","con",0
"211",6,"ti","eco",0.0462725327832101
"212",6,"v","con",0.00194273751759412
"213",6,"v","eco",0.0552266766816184
"214",6,"zn","con",0.84581774865719
"215",6,"zn","eco",1.15456703826762
"216",7,"al","con",0
"217",7,"al","eco",0.592789292028035
"218",7,"as","con",0
"219",7,"as","eco",0.00770573482661796
"220",7,"b","con",0
"221",7,"b","eco",0.0532899877738723
"222",7,"ba","con",0.0974723361154122
"223",7,"ba","eco",0.147236177531838
"224",7,"cd","con",0
"225",7,"cd","eco",0
"226",7,"co","con",0.000174339449408277
"227",7,"co","eco",0.00308083333670103
"228",7,"cr","con",0
"229",7,"cr","eco",0.00382993558836968
"230",7,"cu","con",0
"231",7,"cu","eco",0.0739270465238385
"232",7,"fe","con",0.00735588319209359
"233",7,"fe","eco",0.654909498994868
"234",7,"mg","con",0.248630591196076
"235",7,"mg","eco",8.43078407266626
"236",7,"mn","con",0.00414836336627834
"237",7,"mn","eco",0.0231759391618743
"238",7,"mo","con",0.00014604870049743
"239",7,"mo","eco",0.00274708559147817
"240",7,"na","con",0.804897450583738
"241",7,"na","eco",39.0649353526653
"242",7,"ni","con",0
"243",7,"ni","eco",0.00943394910317814
"244",7,"no3","con",0
"245",7,"no3","eco",0
"246",7,"pb","con",0
"247",7,"pb","eco",0
"248",7,"po4","con",0
"249",7,"po4","eco",0.0157768433761841
"250",7,"sr","con",0.0226482528789914
"251",7,"sr","eco",0.539737685014889
"252",7,"ti","con",0
"253",7,"ti","eco",0.0301313392472042
"254",7,"v","con",0
"255",7,"v","eco",0.0395060178119049
"256",7,"zn","con",0.274983611382598
"257",7,"zn","eco",0.308148736776206
"258",8,"al","con",0
"259",8,"al","eco",0.223107095591333
"260",8,"as","con",0.000251769579028829
"261",8,"as","eco",0.00348901530414802
"262",8,"b","con",0
"263",8,"b","eco",0.0274590405962778
"264",8,"ba","con",0.160536755537021
"265",8,"ba","eco",0.0796540654529823
"266",8,"cd","con",0.000106474278242638
