"","storm_id","pollutant","roof","p_mg_m2"
"170",4,"Sr","eco",0.36
"171",4,"Ti","con",0
"172",4,"Ti","eco",0.0301
"173",4,"V","con",0.00111
"174",4,"V","eco",0.0286
"175",4,"Zn","con",0.271
"176",4,"Zn","eco",0.51
"177",5,"Al","con",0
"178",5,"Al","eco",0.593
"179",5,"As","con",0
"180",5,"As","eco",0.00822
"181",5,"B","con",0.0205
"182",5,"B","eco",0.1
"183",5,"Ba","con",0.101
"184",5,"Ba","eco",0.147
"185",5,"Ca","con",10.4
"186",5,"Ca","eco",148
"187",5,"Cd","con",0.000215
"188",5,"Cd","eco",0.000492
"189",5,"Co","con",0.00039
"190",5,"Co","eco",0.0032
"191",5,"Cr","con",0.00631
"192",5,"Cr","eco",0.007
"193",5,"Cu","con",0.00811
"194",5,"Cu","eco",0.134
"195",5,"Fe","con",0.018
"196",5,"Fe","eco",0.668
"197",5,"K","con",3.66
"198",5,"K","eco",23.8
"199",5,"Mg","con",0.374
"200",5,"Mg","eco",8.5
"201",5,"Mn","con",0.00594
"202",5,"Mn","eco",0.0256
"203",5,"Mo","con",6.85e-05
"204",5,"Mo","eco",0.00277
"205",5,"NH3","con",30.2
"206",5,"NH3","eco",6.21
"207",5,"NO3","con",0
"208",5,"NO3","eco",0
"209",5,"Na","con",1.2
"210",5,"Na","eco",39.2
"211",5,"Ni","con",0
"212",5,"Ni","eco",0.00943
"213",5,"P","con",0.0325
"214",5,"P","eco",1.78
"215",5,"PO4","con",0.639
"216",5,"PO4","eco",0.952
"217",5,"Pb","con",0.00163
"218",5,"Pb","eco",0.00408
"219",5,"Se","con",0
"220",5,"Se","eco",0
"221",5,"Sr","con",0.0373
"222",5,"Sr","eco",0.54
"223",5,"Ti","con",0
"224",5,"Ti","eco",0.0301
"225",5,"V","con",0.000513
"226",5,"V","eco",0.0395
"227",5,"Zn","con",0.49
"228",5,"Zn","eco",0.344
"229",6,"NH3","con",2.59
"230",6,"NH3","eco",1.78
"231",6,"NO3","con",0.0551
"232",6,"NO3","eco",0
"233",6,"PO4","con",0.318
"234",6,"PO4","eco",0.307
"235",7,"NH3","con",3.65
"236",7,"NH3","eco",3.15
"237",7,"NO3","con",1.31
"238",7,"NO3","eco",0.112
"239",7,"PO4","con",0.34
"240",7,"PO4","eco",0.561
"241",8,"Al","eco",0.808
"242",8,"As","eco",0.00946
"243",8,"B","eco",0.0678
"244",8,"Ba","eco",0.131
"245",8,"Ca","eco",132
"246",8,"Cd","eco",6.75e-05
"247",8,"Co","eco",0.00114
"248",8,"Cr","eco",0.00341
"249",8,"Cu","eco",0.0809
"250",8,"Fe","eco",0.359
"251",8,"K","eco",16.5
"252",8,"Mg","eco",6.93
"253",8,"Mn","eco",0.0134
"254",8,"Mo","eco",0.0029
"255",8,"NH3","con",7.12
"256",8,"NH3","eco",5.71
"257",8,"NO3","con",0.286
"258",8,"NO3","eco",0.0453
"259",8,"Na","eco",24.6
"260",8,"Ni","eco",0.0542
"261",8,"P","eco",1.14
"262",8,"PO4","con",0.872
"263",8,"PO4","eco",0.874
"264",8,"Pb","eco",0.00388
"265",8,"Se","eco",0
"266",8,"Sr","eco",0.394
"267",8,"Ti","eco",0.0212
"268",8,"V","eco",0.0246
"269",8,"Zn","eco",0.214
"270",9,"Al","con",0.125
"271",9,"As","con",0
"272",9,"B","con",0.00898
"273",9,"Ba","con",0.104
"274",9,"Ca","con",12
"275",9,"Cd","con",0.000149
"276",9,"Co","con",0.000176
"277",9,"Cr","con",0.00266
"278",9,"Cu","con",0.00338
"279",9,"Fe","con",0.0211
"280",9,"K","con",3.68
"281",9,"Mg","con",0.327
"282",9,"Mn","con",0
"283",9,"Mo","con",0.000145
"284",9,"NH3","con",10.7
"285",9,"NO3","con",0
"286",9,"Na","con",0.519
"287",9,"Ni","con",0.00595
"288",9,"P","con",0.286
"289",9,"PO4","con",0.356
"290",9,"Pb","con",0.00339
"291",9,"Se","con",0
"292",9,"Sr","con",0.0175
"293",9,"Ti","con",0.00517
"294",9,"V","con",0
"295",9,"Zn","con",0.511
"296",10,"Al","con",0.106
"297",10,"As","con",0
"298",10,"B","con",0.0295
"299",10,"Ba","con",0.068
"300",10,"Ca","con",10.9
"301",10,"Cd","con",0.000178
"302",10,"Co","con",0.00014
"303",10,"Cr","con",0.00153
"304",10,"Cu","con",0.00388
"305",10,"Fe","con",0.0116
"306",10,"K","con",2.71
"307",10,"Mg","con",0.94
"308",10,"Mn","con",0.000656
"309",10,"Mo","con",0.000292
"310",10,"NH3","con",6.01
"311",10,"NO3","con",0
"312",10,"Na","con",14.4
"313",10,"Ni","con",0
"314",10,"P","con",0.0727
"315",10,"PO4","con",0.113
"316",10,"Pb","con",0.000579
"317",10,"Se","con",0.000337
"318",10,"Sr","con",0.0228
"319",10,"Ti","con",0
"320",10,"V","con",0
"321",10,"Zn","con",0.363
"322",11,"Al","con",0
"323",11,"As","con",9.61e-05
"324",11,"B","con",0.0206
"325",11,"Ba","con",0.154
"326",11,"Ca","con",27.3
"327",11,"Cd","con",0.000307
"328",11,"Co","con",0.000292
"329",11,"Cr","con",0.00528
"330",11,"Cu","con",0.0108
"331",11,"Fe","con",0.0181
"332",11,"K","con",6.92
"333",11,"Mg","con",0.651
"334",11,"Mn","con",0.0103
"335",11,"Mo","con",0.000299
"336",11,"NH3","con",59.1
"337",11,"NO3","con",0
"338",11,"Na","con",2
"339",11,"Ni","con",0.0447
"340",11,"P","con",0.524
"341",11,"PO4","con",0.385
"342",11,"Pb","con",0.0027
"343",11,"Se","con",0
"344",11,"Sr","con",0.0244
"345",11,"Ti","con",0
"346",11,"V","con",0.000536
"347",11,"Zn","con",0.961
"348",12,"Al","con",0.123
"349",12,"As","con",0.000602
"350",12,"B","con",0.0274
"351",12,"Ba","con",0.119
"352",12,"Ca","con",16.8
"353",12,"Cd","con",0.000265
"354",12,"Co","con",0.000692
"355",12,"Cr","con",0.0052
"356",12,"Cu","con",0.012
"357",12,"Fe","con",0.0503
"358",12,"K","con",6.57
"359",12,"Mg","con",1.84
"360",12,"Mn","con",0.0172
"361",12,"Mo","con",0.000662
"362",12,"NH3","con",15
"363",12,"NO3","con",0
"364",12,"Na","con",14.3
"365",12,"Ni","con",0.00468
"366",12,"P","con",0.524
"367",12,"PO4","con",0.489
"368",12,"Pb","con",0.000787
"369",12,"Se","con",0
"370",12,"Sr","con",0.0319
"371",12,"Ti","con",0.000386
"372",12,"V","con",0.000677
"373",12,"Zn","con",0.676
"374",13,"Al","eco",0.607
"375",13,"As","eco",0.00801
"376",13,"B","eco",0.097
"377",13,"Ba","eco",0.171
"378",13,"Ca","eco",271
"379",13,"Cd","eco",0.00053
"380",13,"Co","eco",0.000765
"381",13,"Cr","eco",0.0151
"382",13,"Cu","eco",0.0819
"383",13,"Fe","eco",0.38
"384",13,"K","eco",27.9
"385",13,"Mg","eco",13.5
"386",13,"Mn","eco",0.0169
"387",13,"Mo","eco",0.00234
"388",13,"NH3","eco",3.67
"389",13,"NO3","eco",0.121
"390",13,"Na","eco",26
"391",13,"Ni","eco",0.0139
"392",13,"P","eco",2.36
"393",13,"PO4","eco",1.05
"394",13,"Pb","eco",0.00296
"395",13,"Se","eco",0
"396",13,"Sr","eco",0.847
"397",13,"Ti","eco",0.0126
"398",13,"V","eco",0.0384
"399",13,"Zn","eco",0.313
"400",14,"Al","con",0.249
"401",14,"Al","eco",0.315
"402",14,"As","con",0.000857
"403",14,"As","eco",0.00643
"404",14,"B","con",0.0306
"405",14,"B","eco",0.0559
"406",14,"Ba","con",0.225
"407",14,"Ba","eco",0.15
"408",14,"Ca","con",27.3
"409",14,"Ca","eco",172
"410",14,"Cd","con",0.000126
"411",14,"Cd","eco",0.000249
"412",14,"Co","con",0.000347
"413",14,"Co","eco",0.000665
"414",14,"Cr","con",0.0109
"415",14,"Cr","eco",0.0062
"416",14,"Cu","con",0.0376
"417",14,"Cu","eco",0.0619
"418",14,"Fe","con",0.11
"419",14,"Fe","eco",0.272
"420",14,"K","con",7.22
"421",14,"K","eco",17.1
"422",14,"Mg","con",1.16
"423",14,"Mg","eco",8.53
"424",14,"Mn","con",0.0306
"425",14,"Mn","eco",0.00583
"426",14,"Mo","con",0.00509
"427",14,"Mo","eco",0.00255
"428",14,"NH3","con",12.9
"429",14,"NH3","eco",5.74
"430",14,"NO3","con",0
"431",14,"NO3","eco",0
"432",14,"Na","con",6.3
"433",14,"Na","eco",17.6
"434",14,"Ni","con",0.00926
"435",14,"Ni","eco",0.0254
"436",14,"P","con",1.27
"437",14,"P","eco",2.04
"438",14,"PO4","con",0.223
"439",14,"PO4","eco",1.19
"440",14,"Pb","con",0.002
"441",14,"Pb","eco",0.00103
"442",14,"Se","con",0.0241
"443",14,"Se","eco",0.0457
"444",14,"Sr","con",0.0307
"445",14,"Sr","eco",0.633
"446",14,"Ti","con",0.00397
"447",14,"Ti","eco",0.00803
"448",14,"V","con",0.000852
"449",14,"V","eco",0.0263
"450",14,"Zn","con",0.925
"451",14,"Zn","eco",0.269
"452",15,"Al","eco",0.0907
"453",15,"As","eco",0.00346
"454",15,"B","eco",0.0256
"455",15,"Ba","eco",0.0456
"456",15,"Ca","eco",56.6
"457",15,"Cd","eco",4e-05
"458",15,"Co","eco",0.000353
"459",15,"Cr","eco",0.00272
"460",15,"Cu","eco",0.0228
"461",15,"Fe","eco",0.0974
"462",15,"K","eco",5.73
"463",15,"Mg","eco",3.18
"464",15,"Mn","eco",0.00206
"465",15,"Mo","eco",0.000611
"466",15,"Na","eco",7.08
"467",15,"Ni","eco",0.00121
"468",15,"P","eco",0.598
"469",15,"Pb","eco",0.000806
"470",15,"Se","eco",0.0112
"471",15,"Sr","eco",0.179
"472",15,"Ti","eco",0.00338
"473",15,"V","eco",0.0105
"474",15,"Zn","eco",0.116
"475",16,"Al","con",0.351
"476",16,"Al","eco",0.963
"477",16,"As","con",0.00119
"478",16,"As","eco",0.0163
"479",16,"B","con",0.0289
"480",16,"B","eco",0.122
"481",16,"Ba","con",0.22
"482",16,"Ba","eco",0.345
"483",16,"Ca","con",42.7
"484",16,"Ca","eco",413
"485",16,"Cd","con",0.000235
"486",16,"Cd","eco",0.000276
"487",16,"Co","con",0.000652
"488",16,"Co","eco",0.00219
"489",16,"Cr","con",0.00805
"490",16,"Cr","eco",0.0131
"491",16,"Cu","con",0.0138
"492",16,"Cu","eco",0.157
"493",16,"Fe","con",0.13
"494",16,"Fe","eco",0.623
"495",16,"K","con",8.43
"496",16,"K","eco",38.3
"497",16,"Mg","con",0.867
"498",16,"Mg","eco",22.7
"499",16,"Mn","con",0.0175
"500",16,"Mn","eco",0.0108
"501",16,"Mo","con",0.000994
"502",16,"Mo","eco",0.00536
"503",16,"NH3","con",17.1
"504",16,"NH3","eco",12.5
"505",16,"NO3","con",0.533
"506",16,"NO3","eco",3.31
"507",16,"Na","con",5.07
"508",16,"Na","eco",48
"509",16,"Ni","con",0.00647
"510",16,"Ni","eco",0.0106
"511",16,"P","con",0.425
"512",16,"P","eco",3.87
"513",16,"PO4","con",0.306
"514",16,"PO4","eco",3.9
"515",16,"Pb","con",0.000586
